Сімферополь;місто;Автономна Республіка Крим
Аерофлотський;селище міського типу;Автономна Республіка Крим
Гресівський;селище міського типу;Автономна Республіка Крим
Комсомольське;селище міського типу;Автономна Республіка Крим
Аграрне;селище міського типу;Автономна Республіка Крим
Алушта;місто;Автономна Республіка Крим
Партеніт;селище міського типу;Автономна Республіка Крим
Бондаренкове;селище;Автономна Республіка Крим
Чайка;селище;Автономна Республіка Крим
Ізобільне;село;Автономна Республіка Крим
Верхня Кутузовка;село;Автономна Республіка Крим
Нижня Кутузовка;село;Автономна Республіка Крим
Розовий;селище;Автономна Республіка Крим
Лучисте;село;Автономна Республіка Крим
Лаванда;селище;Автономна Республіка Крим
Семидвір'я;селище;Автономна Республіка Крим
Малий Маяк;село;Автономна Республіка Крим
Виноградний;село;Автономна Республіка Крим
Запрудне;село;Автономна Республіка Крим
Кипарисне;село;Автономна Республіка Крим
Лаврове;село;Автономна Республіка Крим
Лазурне;село;Автономна Республіка Крим
Нижнє Запрудне;село;Автономна Республіка Крим
Пушкіне;село;Автономна Республіка Крим
Утьос;селище;Автономна Республіка Крим
Малоріченське;село;Автономна Республіка Крим
Генеральське;село;Автономна Республіка Крим
Рибаче;село;Автономна Республіка Крим
Сонячногірське;село;Автономна Республіка Крим
Привітне;село;Автономна Республіка Крим
Зеленогір'я;село;Автономна Республіка Крим
Джанкой;місто;Автономна Республіка Крим
Євпаторія;місто;Автономна Республіка Крим
Заозерне;селище міського типу;Автономна Республіка Крим
Мирний;селище міського типу;Автономна Республіка Крим
Новоозерне;селище міського типу;Автономна Республіка Крим
Керч;місто;Автономна Республіка Крим
Красноперекопськ;місто;Автономна Республіка Крим
Саки;місто;Автономна Республіка Крим
Армянськ;місто;Автономна Республіка Крим
Суворове;село;Автономна Республіка Крим
Волошине;село;Автономна Республіка Крим
Перекоп;село;Автономна Республіка Крим
Феодосія;місто;Автономна Республіка Крим
Курортне;селище міського типу;Автономна Республіка Крим
Орджонікідзе;селище міського типу;Автономна Республіка Крим
Коктебель;селище міського типу;Автономна Республіка Крим
Нанікове;село;Автономна Республіка Крим
Приморський;селище міського типу;Автономна Республіка Крим
Щебетовка;селище міського типу;Автономна Республіка Крим
Краснокам'янка;село;Автономна Республіка Крим
Берегове;село;Автономна Республіка Крим
Степове;село;Автономна Республіка Крим
Насипне;село;Автономна Республіка Крим
Ближнє;село;Автономна Республіка Крим
Виноградне;село;Автономна Республіка Крим
Підгірне;село;Автономна Республіка Крим
Піонерське;село;Автономна Республіка Крим
Сонячне;село;Автономна Республіка Крим
Южне;село;Автономна Республіка Крим
Судак;місто;Автономна Республіка Крим
Новий Світ;селище міського типу;Автономна Республіка Крим
Веселе;село;Автономна Республіка Крим
Грушівка;село;Автономна Республіка Крим
Перевалівка;село;Автономна Республіка Крим
Холодівка;село;Автономна Республіка Крим
Дачне;село;Автономна Республіка Крим
Лісне;село;Автономна Республіка Крим
Міжріччя;село;Автономна Республіка Крим
Ворон;село;Автономна Республіка Крим
Морське;село;Автономна Республіка Крим
Громівка;село;Автономна Республіка Крим
Сонячна Долина;село;Автономна Республіка Крим
Багатівка;село;Автономна Республіка Крим
Миндальне;селище;Автономна Республіка Крим
Прибережне;село;Автономна Республіка Крим
Ялта;місто;Автономна Республіка Крим
Берегове;селище міського типу;Автономна Республіка Крим
Нікіта;селище міського типу;Автономна Республіка Крим
Виноградне;селище міського типу;Автономна Республіка Крим
Восход;селище міського типу;Автономна Республіка Крим
Гаспра;селище міського типу;Автономна Республіка Крим
Голуба Затока;селище міського типу;Автономна Республіка Крим
Гурзуф;селище міського типу;Автономна Республіка Крим
Данилівка;селище;Автономна Республіка Крим
Лінійне;селище;Автономна Республіка Крим
Партизанське;селище;Автономна Республіка Крим
Кацівелі;селище міського типу;Автономна Республіка Крим
Кореїз;селище міського типу;Автономна Республіка Крим
Краснокам'янка;селище міського типу;Автономна Республіка Крим
Курпати;селище міського типу;Автономна Республіка Крим
Лівадія;селище міського типу;Автономна Республіка Крим
Високогірне;селище;Автономна Республіка Крим
Гірне;селище;Автономна Республіка Крим
Куйбишеве;селище;Автономна Республіка Крим
Охотниче;селище;Автономна Республіка Крим
Масандра;селище міського типу;Автономна Республіка Крим
Ореанда;селище міського типу;Автономна Республіка Крим
Відрадне;селище міського типу;Автономна Республіка Крим
Паркове;селище міського типу;Автономна Республіка Крим
Понизівка;селище міського типу;Автономна Республіка Крим
Санаторне;селище міського типу;Автономна Республіка Крим
Сімеїз;селище міського типу;Автономна Республіка Крим
Оползневе;село;Автономна Республіка Крим
Совєтське;селище міського типу;Автономна Республіка Крим
Форос;селище міського типу;Автономна Республіка Крим
Олива;селище;Автономна Республіка Крим
Алупка;місто;Автономна Республіка Крим
Бахчисарай;місто;Автономна Республіка Крим
Научний;селище міського типу;Автономна Республіка Крим
Куйбишеве;селище міського типу;Автономна Республіка Крим
Велике Садове;село;Автономна Республіка Крим
Високе;село;Автономна Республіка Крим
Мале Садове;село;Автономна Республіка Крим
Новоульянівка;село;Автономна Республіка Крим
Танкове;село;Автономна Республіка Крим
Поштове;селище міського типу;Автономна Республіка Крим
Завітне;село;Автономна Республіка Крим
Зубакіне;село;Автономна Республіка Крим
Казанки;село;Автономна Республіка Крим
Малинівка;село;Автономна Республіка Крим
Нововасилівка;село;Автономна Республіка Крим
Новопавлівка;село;Автономна Республіка Крим
Приятне Свідання;село;Автономна Республіка Крим
Ростуче;село;Автономна Республіка Крим
Самохвалове;село;Автономна Республіка Крим
Севастянівка;село;Автономна Республіка Крим
Стальне;селище;Автономна Республіка Крим
Тополі;село;Автономна Республіка Крим
Ароматне;село;Автономна Республіка Крим
Вікторівка;село;Автономна Республіка Крим
Маловидне;село;Автономна Республіка Крим
Рєпіне;село;Автономна Республіка Крим
Розове;село;Автономна Республіка Крим
Верхоріччя;село;Автономна Республіка Крим
Баштанівка;село;Автономна Республіка Крим
Кудрине;село;Автономна Республіка Крим
Машине;село;Автономна Республіка Крим
Передущельне;село;Автономна Республіка Крим
Синапне;село;Автономна Республіка Крим
Віліне;село;Автономна Республіка Крим
Розсадне;село;Автономна Республіка Крим
Голубинка;село;Автономна Республіка Крим
Аромат;село;Автономна Республіка Крим
Багата Ущелина;село;Автономна Республіка Крим
Нижня Голубинка;село;Автономна Республіка Крим
Новопілля;село;Автономна Республіка Крим
Поляна;село;Автономна Республіка Крим
Путилівка;село;Автономна Республіка Крим
Соколине;село;Автономна Республіка Крим
Сонячносілля;село;Автономна Республіка Крим
Долинне;село;Автономна Республіка Крим
Новеньке;село;Автономна Республіка Крим
Фурмановка;село;Автономна Республіка Крим
Залізничне;село;Автономна Республіка Крим
Білокам'яне;село;Автономна Республіка Крим
Дачне;село;Автономна Республіка Крим
Мостове;село;Автономна Республіка Крим
Річне;село;Автономна Республіка Крим
Сирень;селище;Автономна Республіка Крим
Тургенєвка;село;Автономна Республіка Крим
Зелене;село;Автономна Республіка Крим
Богатир;село;Автономна Республіка Крим
Многоріччя;село;Автономна Республіка Крим
Нагірне;село;Автономна Республіка Крим
Плотинне;село;Автономна Республіка Крим
Щасливе;село;Автономна Республіка Крим
Каштани;село;Автономна Республіка Крим
Відрадне;село;Автономна Республіка Крим
Кочергіне;село;Автономна Республіка Крим
Шевченкове;село;Автономна Республіка Крим
Красний Мак;село;Автономна Республіка Крим
Залісне;село;Автономна Республіка Крим
Холмівка;село;Автономна Республіка Крим
Ходжа Сала;село;Автономна Республіка Крим
Піщане;село;Автономна Республіка Крим
Берегове;село;Автономна Республіка Крим
Плодове;село;Автономна Республіка Крим
Брянське;село;Автономна Республіка Крим
Гірка;село;Автономна Республіка Крим
Дібрівка;село;Автономна Республіка Крим
Дорожнє;село;Автономна Республіка Крим
Скалисте;село;Автономна Республіка Крим
Глибокий Яр;село;Автономна Республіка Крим
Прохладне;село;Автономна Республіка Крим
Трудолюбівка;село;Автономна Республіка Крим
Табачне;село;Автономна Республіка Крим
Тінисте;село;Автономна Республіка Крим
Айвове;село;Автономна Республіка Крим
Красна Зоря;село;Автономна Республіка Крим
Некрасовка;село;Автономна Республіка Крим
Суворове;село;Автономна Республіка Крим
Углове;село;Автономна Республіка Крим
Білогірськ;місто;Автономна Республіка Крим
Зуя;селище міського типу;Автономна Республіка Крим
Баланове;село;Автономна Республіка Крим
Барабанове;село;Автономна Республіка Крим
Верхні Орішники;село;Автономна Республіка Крим
Володимирівка;село;Автономна Республіка Крим
Литвиненкове;село;Автономна Республіка Крим
Нижні Орішники;село;Автономна Республіка Крим
Петрове;село;Автономна Республіка Крим
Українське;село;Автономна Республіка Крим
Ароматне;село;Автономна Республіка Крим
Красногірське;село;Автономна Республіка Крим
Курортне;село;Автономна Республіка Крим
Багате;село;Автономна Республіка Крим
Горлинка;село;Автономна Республіка Крим
Красна Слобода;село;Автономна Республіка Крим
Мелехове;село;Автономна Республіка Крим
Поворотне;село;Автономна Республіка Крим
Руське;село;Автономна Республіка Крим
Черемисівка;село;Автономна Республіка Крим
Василівка;село;Автономна Республіка Крим
Малинівка;село;Автономна Республіка Крим
Некрасове;село;Автономна Республіка Крим
Павлівка;село;Автономна Республіка Крим
Пролом;село;Автономна Республіка Крим
Сєверне;село;Автономна Республіка Крим
Вишенне;село;Автономна Республіка Крим
Біла Скеля;село;Автономна Республіка Крим
Миронівка;село;Автономна Республіка Крим
Зеленогірське;село;Автономна Республіка Крим
Балки;село;Автономна Республіка Крим
Міжгір'я;село;Автономна Республіка Крим
Новогригорівка;село;Автономна Республіка Крим
Новокленове;село;Автономна Республіка Крим
Овражки;селище;Автономна Республіка Крим
Олександрівка;село;Автономна Республіка Крим
Пасічне;селище;Автономна Республіка Крим
Пчолине;село;Автономна Республіка Крим
Яковлівка;село;Автономна Республіка Крим
Земляничне;село;Автономна Республіка Крим
Оленівка;село;Автономна Республіка Крим
Опитне;село;Автономна Республіка Крим
Радісне;село;Автономна Республіка Крим
Родники;село;Автономна Республіка Крим
Синьокам'янка;село;Автономна Республіка Крим
Учебне;село;Автономна Республіка Крим
Зибини;село;Автономна Республіка Крим
Мельники;село;Автономна Республіка Крим
Криничне;село;Автономна Республіка Крим
Алексєєвка;село;Автономна Республіка Крим
Голованівка;село;Автономна Республіка Крим
Карасівка;село;Автономна Республіка Крим
Кирпичне;село;Автономна Республіка Крим
Красноселівка;село;Автономна Республіка Крим
Яблучне;село;Автономна Республіка Крим
Кримська Роза;село;Автономна Республіка Крим
Вишневе;село;Автономна Республіка Крим
Курське;село;Автономна Республіка Крим
Тополівка;село;Автономна Республіка Крим
Мельничне;село;Автономна Республіка Крим
Ударне;село;Автономна Республіка Крим
Мічурінське;село;Автономна Республіка Крим
Лічебне;село;Автономна Республіка Крим
Муромське;село;Автономна Республіка Крим
Дивне;село;Автономна Республіка Крим
Кривцове;село;Автономна Республіка Крим
Сінне;село;Автономна Республіка Крим
Хлібне;село;Автономна Республіка Крим
Новожилівка;село;Автономна Республіка Крим
Аннівка;село;Автономна Республіка Крим
Новоолександрівка;село;Автономна Республіка Крим
Тургенєве;село;Автономна Республіка Крим
Русаківка;село;Автономна Республіка Крим
Лугове;село;Автономна Республіка Крим
Цвіточне;село;Автономна Республіка Крим
Долинівка;село;Автономна Республіка Крим
Чорнопілля;село;Автономна Республіка Крим
Дозорне;село;Автономна Республіка Крим
Кизилівка;село;Автономна Республіка Крим
Ульяновка;село;Автономна Республіка Крим
Азовське;селище міського типу;Автономна Республіка Крим
Вільне;селище міського типу;Автономна Республіка Крим
Єрмакове;село;Автономна Республіка Крим
Вітвисте;село;Автономна Республіка Крим
Копані;село;Автономна Республіка Крим
Островське;село;Автономна Республіка Крим
Придорожнє;село;Автономна Республіка Крим
Солоне Озеро;село;Автономна Республіка Крим
Стовпове;село;Автономна Республіка Крим
Завіт-Ленінський;село;Автономна Республіка Крим
Зелений Яр;село;Автономна Республіка Крим
Мартинівка;село;Автономна Республіка Крим
Мілководне;село;Автономна Республіка Крим
Пушкіне;село;Автономна Республіка Крим
