с.,Іванків
с.,Іванківці
с.,Іванківці
с-ще,Івановецьке
с.,Іванопіль
с.,Іваньки
с.,Іваньки
с.,Іванів
с.,Іванів
с.,Іванівка
с.,Іванівка
с.,Іванівці
с.,Іванівці
с.,Івашківці
с.,Івонівка
с.,Івонівці
с.,Івча
с.,Ілляшівка
с.,Іллівка
с.,Іллінецьке
м.,Іллінці
с.,Ільківка
с.,Іракліївка
с.,Іскриня
с.,Іскрівка
с.,Абрамівська Долина
с.,Агрономічне
с.,Адамівка
с.,Адамівка
с.,Адамівка
с.,Адамівка
с.,Андрушівка
с.,Андріяшівка
с.,Андріївка
с.,Антонопіль
с.,Антонівка
с.,Антонівка
с.,Антонівка
с.,Антонівка
с.,Антопіль
с.,Анциполівка
с.,Анютине
с.,Аристівка
с.,Бабин
с.,Бабина Долина
с.,Бабинці
с.,Бабчинці
с.,Багринівці
с.,Байківка
с.,Байраківка
с.,Балабанівка
с.,Баланівка
с.,Балин
с.,Балки
с.,Балківка
с.,Бандишівка
м.,Бар
с-ще,Бар
с.,Барвінкове
с.,Барок
с.,Бартошівка
с.,Басаличівка
с.,Батрацьке
с.,Бахтин
с.,Бахтинок
с.,Бджільна
с.,Безводне
с.,Безчасне
с.,Безчасне Друге
с.,Безчасний Перший
с.,Безіменне
с.,Бережани
с.,Бережанка
с.,Бережне
с-ще,Березина
с.,Березна
с.,Березова
с.,Березова
с.,Березівка
с.,Березівка
с.,Березівка
с.,Березівка
с.,Берестівка
с.,Берлядка
с.,Бернашівка
м.,Бершадь
с.,Берізки-Бершадські
с.,Берізки-Чечельницькі
с.,Бирлівка
с.,Бистрик
с.,Благодатне
с.,Блажіївка
с.,Блакитне
с.,Боблів
с.,Богатир
с.,Богданівка
с.,Богданівка
с.,Богданівка
с.,Богушівка
с.,Болган
с.,Бондурі
с.,Бондурівка
с.,Бондурівка
с.,Борисівка
с.,Борсків
с.,Борсуки
с.,Бортники
с.,Борщагівка
с.,Борщі
с.,Борщівці
с.,Борівка
с.,Борівське
с.,Бохоники
смт,Брацлав
смт,Браїлів
с-ще,Браїлів
с.,Бригидівка
с.,Бритавка
с.,Брицьке
смт,Бродецьке
с.,Бронниця
с.,Брохвичі
с.,Бруслинів
с.,Бруслинівка
с.,Брідок
с.,Бубнівка
с.,Бугаків
с.,Бугаївка
с.,Буди
с.,Будки
с.,Будків
с.,Будне
с.,Будьки
с.,Будьоннівка
с.,Букатинка
с.,Булаї
с.,Бур'яни
с.,Бурдії
с.,Бурківці
с.,Бухни
с.,Буцні
с.,Буша
с.,Бушинка
с.,Біла
с.,Біла
с.,Білашки
с.,Білий Камінь
с.,Білий Рукав
с.,Біликівці
с.,Біличин
с.,Білки
с.,Білозерівка
с.,Білозірка
с.,Білопілля
с.,Білоусівка
с.,Білоусівка Друга
с.,Біляни
с.,Біляни
с.,Бірків
с.,В'язовиця
с.,Важне
с.,Вазлуївка
смт,Вапнярка
с.,Вапнярки
с.,Варжинка
с.,Васильківці
с-ще,Василівка
с.,Василівка
с.,Василівка
с.,Василівка
с.,Василівка
с.,Васютинці
с.,Вахнівка
с.,Велика Бушинка
с.,Велика Вулига
с.,Велика Киріївка
с.,Велика Кісниця
с.,Велика Мочулка
с.,Велика Ростівка
с.,Велика Русава
